Actual Distance (km),Intensity,Estimated Distance (km),Intensity
264.5,2.7,9.7,3.405563649
28.7,3.4,10.67,3.368930189
114.4,2,11.74,3.326898006
56.2,2,12.91,3.279463401
112.6,2.1,14.2,3.22592804
53.4,3.1,15.62,3.166115448
111.3,3.1,17.18,3.100003118
205.5,2,18.9,3.027306341
299.8,1,20.79,2.948330279
219.4,3.4,22.87,2.863122529
242.5,2.2,25.16,2.771892777
414.6,3.4,27.68,2.674994931
229.1,2,30.45,2.572898285
105.1,2.7,33.5,2.465810302
119.3,3.1,36.85,2.354380937
205.5,2.5,40.54,2.238663876
333.4,2.4,44.59,2.119415641
297.2,2.5,49.05,2.022471938
34.8,3.2,53.95,1.962974554
115.4,4,59.35,1.90144825
112.8,2,65.29,1.838021158
203,2.2,71.82,1.772720502
167,2.5,79,1.705496127
229.5,2,86.9,1.636240006
230.7,4.5,95.59,1.564881092
120.2,2.5,105.15,1.491297446
243.3,2.7,115.67,1.41532812
51.2,3.1,127.24,1.336847658
184.1,2.9,139.96,1.255690894
215.1,2,153.96,1.171543295
69.8,3.1,169.36,1.084198979
119.9,2,186.3,0.993372312
103.6,2.8,204.93,0.898763394
233.2,2.9,225.42,0.800010166
154.7,2.6,247.96,0.696698447
22.4,3.3,272.76,0.588368798
168.6,2.7,300.04,0.474561743
31,3.2,330.04,0.354772673
391.3,3.4,363.04,0.228379446
25.7,3.6,399.34,0.094730246
67.8,3.4,439.27,-0.046893271
146.3,1,483.2,-0.197305979
283.7,1,531.52,-0.357346696
385.3,3.4,584.67,-0.527978041
302.4,2.5,643.14,-0.7102775
119.8,2.9,707.45,-0.905371572
158.7,2,778.2,-1.114585463
197.2,2,856.02,-1.339287031
39.8,3.3,941.62,-1.581032514
209,2.5,1035.78,-1.841530489
436.6,4.5,1139.36,-2.122665541
56.7,3,1253.3,-2.426494306
149.8,3.4,1378.63,-2.75526926
453.4,3.8,1516.49,-3.111487193
125.9,2.9,1668.14,-3.49790967
150.9,2.6,9.7,4.115263649
142.4,2,10.67,4.079600189
126.6,4.3,11.74,4.038638006
73.9,2.6,12.91,3.992373401
117.2,2.7,14.2,3.94012804
103.2,2.7,15.62,3.881735448
307.7,2,17.18,3.817183118
28.7,3.6,18.9,3.746206341
150.2,2.5,20.79,3.669120279
215,2.7,22.87,3.585992529
11.3,4.2,25.16,3.497052777
200.3,2.4,27.68,3.402674931
60,2.8,30.45,3.303348285
124,3,33.5,3.199310302
22.9,3.5,36.85,3.091230937
438.9,3,40.54,2.979203876
136.8,3.4,44.59,2.864005641
37.6,3.2,49.05,2.771521938
89.6,2,53.95,2.743341709
1101.7,3.1,59.35,2.720358825
366.1,2.2,65.29,2.696012489
109.2,3.5,71.82,2.670360819
284.6,2.2,79,2.643421796
133.9,2.2,86.9,2.615179823
40.5,2.7,95.59,2.585625058
244.7,2.7,105.15,2.554718865
188.6,3.1,115.67,2.522398705
83.8,2.8,127.24,2.488610582
249.4,2.4,139.96,2.453278037
188.7,3,153.96,2.407200299
241.1,2.3,169.36,2.335255983
305.7,2,186.3,2.261369316
256.8,2,204.93,2.185390398
78.9,2.7,225.42,2.10712717
205.7,1,247.96,2.026355451
56.5,3.3,272.76,1.942825802
133.4,2.6,300.04,1.856298747
92,2.1,330.04,1.766509677
359.7,1,363.04,1.67311645
101.1,2.7,399.34,1.57576725
204,2,439.27,1.474073733
73,2.7,483.2,1.367591025
72.8,2,531.52,1.255870308
130.9,2.4,584.67,1.138388963
364.4,3,643.14,1.014559504
151.5,2.9,707.45,0.883775432
275.5,2,778.2,0.745311541
49.5,2.1,856.02,0.598429973
332.8,2,941.62,0.44228449
327,1,1035.78,0.275946515
113.1,2.2,1139.36,0.098391462
79.4,2,1253.3,-0.091497302
227.8,2.4,1378.63,-0.294942257
132.4,2.6,1516.49,-0.51330019
73.2,2,1668.14,-0.748072667
52.4,3.1,,
217.8,3.4,,
57.4,2.6,,
127.7,2.7,,
342.1,2.4,,
177.6,2.7,,
239.9,2.9,,
190.3,2.6,,
252.6,2.2,,
451.1,2,,
34.8,2.9,,
141.9,4.5,,
373.4,3.1,,
79.7,2.4,,
92.4,2.6,,
231.5,2.2,,
360.8,2,,
250.4,2.2,,
186.3,2.2,,
337.8,1,,
49.7,2.9,,
17.6,3.6,,
152.8,3.3,,
245.2,1,,
296.8,2.9,,
45.5,3,,
79.4,2,,
76.7,2,,
396.3,2,,
407.2,2,,
231.3,2,,
1104,3.1,,
232.9,3.4,,
267.6,2,,
334.6,2,,
164.6,2.9,,
82.6,2.7,,
423.5,3.4,,
180.8,3.1,,
43.5,3.1,,
248.3,2,,
185.3,3.4,,
156,2.3,,
14.4,3.6,,
243.7,2.7,,
79.9,2.3,,
77.9,2,,
48.2,2.6,,
1121.7,3.4,,
168.1,2.2,,
171.4,3.1,,
53.5,3.2,,
180.1,4.3,,
106.2,2.7,,
154.9,2.2,,
87.1,2.1,,
