Distance(km) Intensity
264.5 2.7
28.7 3.4
114.4 2.0
56.2 2.0
112.6 2.1
53.4 3.1
111.3 3.1
205.5 2.0
299.8 1.0
219.4 3.4
242.5 2.2
414.6 3.4
229.1 2.0
105.1 2.7
119.3 3.1
205.5 2.5
333.4 2.4
297.2 2.5
34.8 3.2
115.4 4.0
112.8 2.0
203.0 2.2
167.0 2.5
229.5 2.0
230.7 4.5
120.2 2.5
243.3 2.7
51.2 3.1
184.1 2.9
215.1 2.0
69.8 3.1
119.9 2.0
103.6 2.8
233.2 2.9
154.7 2.6
22.4 3.3
168.6 2.7
31.0 3.2
391.3 3.4
25.7 3.6
67.8 3.4
146.3 1.0
283.7 1.0
385.3 3.4
302.4 2.5
119.8 2.9
158.7 2.0
197.2 2.0
39.8 3.3
209.0 2.5
436.6 4.5
56.7 3.0
149.8 3.4
453.4 3.8
125.9 2.9
150.9 2.6
142.4 2.0
126.6 4.3
73.9 2.6
117.2 2.7
103.2 2.7
307.7 2.0
28.7 3.6
150.2 2.5
215.0 2.7
11.3 4.2
200.3 2.4
60.0 2.8
124.0 3.0
22.9 3.5
438.9 3.0
136.8 3.4
37.6 3.2
89.6 2.0
1101.7 3.1
366.1 2.2
109.2 3.5
284.6 2.2
133.9 2.2
40.5 2.7
244.7 2.7
188.6 3.1
83.8 2.8
249.4 2.4
188.7 3.0
241.1 2.3
305.7 2.0
256.8 2.0
78.9 2.7
205.7 1.0
56.5 3.3
133.4 2.6
92.0 2.1
359.7 1.0
101.1 2.7
204.0 2.0
73.0 2.7
72.8 2.0
130.9 2.4
364.4 3.0
151.5 2.9
275.5 2.0
49.5 2.1
332.8 2.0
327.0 1.0
113.1 2.2
79.4 2.0
227.8 2.4
132.4 2.6
73.2 2.0
52.4 3.1
217.8 3.4
57.4 2.6
127.7 2.7
342.1 2.4
177.6 2.7
239.9 2.9
190.3 2.6
252.6 2.2
451.1 2.0
34.8 2.9
141.9 4.5
373.4 3.1
79.7 2.4
92.4 2.6
231.5 2.2
360.8 2.0
250.4 2.2
186.3 2.2
337.8 1.0
49.7 2.9
17.6 3.6
152.8 3.3
245.2 1.0
296.8 2.9
45.5 3.0
79.4 2.0
76.7 2.0
396.3 2.0
407.2 2.0
231.3 2.0
1104.0 3.1
232.9 3.4
267.6 2.0
334.6 2.0
164.6 2.9
82.6 2.7
423.5 3.4
180.8 3.1
43.5 3.1
248.3 2.0
185.3 3.4
156.0 2.3
14.4 3.6
243.7 2.7
79.9 2.3
77.9 2.0
48.2 2.6
1121.7 3.4
168.1 2.2
171.4 3.1
53.5 3.2
180.1 4.3
106.2 2.7
154.9 2.2
87.1 2.1
65.5 2.6
236.3 2.5
106.2 2.8
153.0 2.0
149.7 2.0
63.0 2.7
93.2 2.0
73.1 3.0
160.7 2.4
186.2 2.6
660.4 2.7
283.7 1.0
251.2 2.2
226.7 2.3
26.6 3.3
18.9 3.7
126.8 2.2
158.1 1.0
209.1 2.5
328.7 2.2
32.1 3.5
73.7 2.6
139.1 2.8
24.2 3.5
83.5 3.6
72.0 3.1
98.1 2.3
219.5 3.4
165.7 2.0
74.2 2.5
502.8 2.2
197.8 2.0
391.1 2.2
159.2 2.4
209.2 3.0
108.0 2.0
58.7 2.9
270.3 2.7
79.5 2.8
150.1 3.8
138.2 2.7
34.7 3.4
68.0 2.3
162.0 2.0
96.8 2.0
85.8 2.7
295.3 2.9
144.1 2.2
118.1 2.0
65.9 2.7
60.8 3.1
182.0 2.0
290.8 2.2
179.3 2.0
117.1 3.3
187.4 2.8
178.5 3.8
340.9 2.7
163.0 2.9
159.0 2.9
160.4 1.0
205.2 2.7
150.8 3.2
93.7 2.8
141.6 3.0
347.0 2.9
297.0 2.2
159.0 2.9
338.4 2.0
280.7 2.0
103.0 2.2
316.1 2.2
201.4 5.6
123.4 2.9
27.1 2.5
192.2 2.0
155.7 2.6
245.7 3.1
357.5 2.0
298.7 3.1
225.0 2.0
15.3 3.8
343.0 3.4
338.7 2.7
274.9 3.1
89.9 5.9
245.0 3.1
47.7 2.7
132.3 2.0
136.5 2.5
94.3 2.2
392.0 3.1
264.6 2.0
268.9 3.1
189.0 2.3
197.2 1.0
59.9 2.9
164.2 3.2
390.6 1.0
277.3 3.1
251.1 2.7
311.6 2.9
187.2 1.0
47.4 3.0
144.5 2.7
165.7 2.6
378.0 2.0
125.2 3.2
133.1 2.8
324.7 2.0
153.8 3.0
893.3 3.8
117.3 2.6
222.4 2.2
53.3 3.1
98.0 2.5
38.4 2.8
287.6 1.0
333.4 3.1
65.7 3.1
126.6 2.7
127.9 2.9
187.4 2.7
35.7 2.7
59.4 2.4
1007.0 2.7
167.5 2.2
84.3 1.0
134.6 2.5
337.1 2.0
143.3 2.6
151.6 2.9
154.3 2.0
164.3 3.0
270.7 3.4
271.3 4.1
44.4 3.3
69.8 2.6
84.1 2.3
244.9 2.2
338.7 2.0
56.6 3.1
349.2 2.0
39.4 3.2
141.2 3.1
324.7 2.7
346.3 3.8
95.4 2.9
93.4 2.9
308.1 2.0
341.9 2.0
351.6 4.6
331.7 1.0
134.0 2.2
112.1 2.0
139.2 3.0
191.6 2.7
54.0 3.2
363.9 2.7
400.5 2.2
104.0 2.1
147.8 2.8
205.1 3.5
125.8 2.2
187.5 2.1
146.3 2.8
68.6 2.0
66.0 2.5
177.7 2.9
219.0 3.1
69.5 2.5
19.4 3.4
101.0 2.2
150.6 2.0
206.2 2.0
401.1 2.0
35.5 2.9
14.3 3.8
24.2 3.5
759.6 1.0
87.1 2.0
113.7 3.0
1110.0 2.7
92.7 2.8
187.2 3.4
292.7 3.4
34.4 2.8
217.0 1.0
195.4 3.4
70.5 2.3
42.4 2.2
235.8 2.8
226.9 4.2
302.7 3.8
267.6 2.2
138.8 2.7
44.9 2.8
9.0 4.0
521.0 2.0
61.9 2.4
145.2 2.9
438.8 2.2
103.7 2.4
225.8 2.0
62.2 2.0
230.1 2.5
56.3 2.1
154.0 2.0
81.1 3.1
311.0 1.0
104.1 2.2
343.7 2.0
102.3 2.5
153.3 3.6
161.2 2.9
80.2 1.0
332.9 2.0
482.4 2.0
33.7 3.2
226.6 2.1
146.9 2.2
81.3 2.7
288.7 2.0
42.1 3.1
58.3 2.2
492.3 1.0
89.9 2.0
214.0 2.2
333.9 2.7
294.8 2.2
429.3 2.2
223.5 2.8
43.9 3.3
110.1 3.7
144.4 2.6
259.0 2.1
88.7 3.0
85.9 2.2
95.2 3.1
30.2 3.0
110.0 2.2
193.9 2.2
195.6 2.2
105.6 2.4
464.6 3.3
59.1 2.0
201.4 2.9
194.9 2.9
177.0 2.2
192.4 4.2
122.9 2.8
428.2 1.0
111.9 3.0
1452.9 2.5
208.1 2.0
188.7 2.0
83.1 2.2
76.1 2.5
159.7 1.0
442.3 2.2
49.4 2.3
111.6 1.0
81.7 2.6
110.9 2.5
68.5 2.0
32.6 2.9
63.2 3.1
186.1 2.7
155.3 2.0
53.2 3.3
310.5 2.2
222.5 2.0
223.0 2.9
238.4 2.2
139.7 2.0
216.8 2.2
145.0 3.3
245.2 2.2
165.8 2.5
64.8 2.0
236.1 2.2
88.9 2.9
190.3 2.0
133.5 2.9
70.3 2.3
83.7 1.0
198.5 2.9
127.9 2.2
83.4 2.9
57.3 3.2
89.2 2.8
371.8 2.0
104.1 2.7
233.0 2.6
383.3 2.7
299.3 3.2
462.9 2.0
54.6 2.7
203.2 3.1
68.9 2.8
327.1 2.0
112.4 3.4
174.1 2.5
302.0 2.2
266.7 2.0
174.0 2.0
133.2 2.5
79.4 2.3
130.4 3.1
82.7 2.0
128.4 2.6
97.5 2.8
236.3 2.6
137.5 3.1
106.1 2.7
261.6 2.1
90.2 2.0
163.9 2.5
145.1 2.0
158.7 2.8
843.8 2.2
87.7 2.2
43.5 3.0
174.8 2.7
387.2 3.4
87.9 2.5
193.9 2.3
193.4 3.8
774.5 2.2
193.9 1.0
70.4 3.1
124.7 2.9
183.5 2.2
209.8 4.1
153.3 2.6
151.7 2.5
48.0 2.2
30.8 3.3
110.9 3.0
48.3 2.8
253.5 2.2
119.4 2.5
76.1 3.1
195.1 2.9
181.0 3.3
216.1 2.0
436.9 3.7
92.4 2.5
72.3 2.8
60.6 3.1
291.0 3.1
173.3 3.1
33.1 3.4
71.7 2.2
83.9 2.8
347.3 2.0
111.7 2.4
115.4 2.2
96.8 2.0
275.5 1.0
173.1 2.5
230.8 2.2
110.9 2.8
179.8 4.1
54.7 2.0
244.0 3.4
105.8 2.0
61.1 2.7
44.3 3.4
116.9 2.0
123.6 2.0
213.5 3.4
99.0 2.7
113.0 2.8
328.5 2.9
32.4 3.1
113.5 2.8
40.7 2.5
186.6 2.2
114.0 3.1
153.9 2.0
61.7 3.0
100.8 3.0
97.1 2.9
286.6 2.0
147.3 3.0
185.5 2.5
206.9 2.0
21.3 3.2
146.3 2.7
93.0 2.9
96.4 3.1
48.3 2.8
12.6 3.7
323.9 3.3
66.6 3.1
159.0 2.3
118.2 2.0
212.4 2.2
200.0 1.0
78.7 2.3
347.7 2.0
112.5 2.2
280.9 2.0
124.8 2.7
89.3 2.8
429.3 2.0
110.6 2.0
1036.5 3.1
217.0 2.2
603.0 2.0
105.3 2.1
372.0 2.2
288.7 2.9
97.7 2.0
130.2 2.8
168.3 2.5
75.4 2.6
102.9 3.1
51.5 3.0
38.6 3.2
87.7 2.7
330.8 3.1
292.8 2.0
231.0 2.7
588.9 1.0
250.5 2.0
165.7 2.7
315.5 3.1
85.7 3.1
52.2 2.8
62.0 2.5
240.7 2.0
330.7 2.0
259.3 2.0
26.0 3.4
330.3 2.2
71.6 2.7
74.0 3.1
67.3 2.7
42.8 2.5
119.1 2.9
249.5 2.5
121.3 3.1
604.4 2.7
